id_disc,discipline_name
disc00,Hockey
disc01,Skateboarding
disc02,Boxing
disc03,Archery
disc04,Sailing
disc05,Artistic Swimming
disc06,Badminton
disc07,Football
disc08,Cycling Mountain Bike
disc09,Fencing
disc010,Handball
disc011,Cycling BMX Freestyle
disc012,Cycling BMX Racing
disc013,Golf
disc014,Surfing
disc015,Karate
disc016,Table Tennis
disc017,Canoe Slalom
disc018,Basketball
disc019,Diving
disc020,Judo
disc021,Weightlifting
disc022,Swimming
disc023,Equestrian
disc024,3x3 Basketball
disc025,Wrestling
disc026,Baseball/Softball
disc027,Rugby Sevens
disc028,Trampoline Gymnastics
disc029,Rhythmic Gymnastics
disc030,Cycling Road
disc031,Marathon Swimming
disc032,Sport Climbing
disc033,Triathlon
disc034,Modern Pentathlon
disc035,Rowing
disc036,Canoe Sprint
disc037,Cycling Track
disc038,Taekwondo
disc039,Beach Volleyball
disc040,Water Polo
disc041,Shooting
disc042,Volleyball
disc043,Athletics
disc044,Tennis
disc045,Artistic Gymnastics
